Year,Competition,0,1,2,3,4,5,6,7
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve U21 Women,Ella Perring,Wallingford,260.0,251.0,511,12.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve U18 Women,Amber Chong,Wallingford,192.0,197.0,389,3.0
2020,WAIS Wallingford Dec 2020,WA 18m,Barebow U18 Men,Oliver Hicks,Warfield,,,DNS,
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve 50+ Men,Matthew Greetham,Wallingford,258.0,265.0,523,19.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve 50+ Women,Tracy Perring,Wallingford,220.0,224.0,444,8.0
2020,WAIS Wallingford Dec 2020,WA 18m,Compound 50+ Men,Ray Park,Wallingford,265.0,265.0,530,12.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Stevie Kent,High Weald,292.0,288.0,580,42.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Chris Wood,Wallingford,240.0,265.0,505,13.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Stuart Walker,Compton,234.0,265.0,499,12.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Phil Wortley,Wallingford,219.0,216.0,435,6.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,209.0,193.0,402,5.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Andy Buchan,Wallingford,,,DNS,
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Dominic Collis,Wallingford,,,DNS,
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Men,Colin Simpson,Warfield,,,DNS,
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Antje Frotscher,Oxford,263.0,267.0,530,18.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Cheryl King,Wallingford,268.0,259.0,527,20.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Alethea Russell,Wallingford,247.0,270.0,517,14.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Hayley Wickens,Wallingford,178.0,216.0,394,2.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Rachel Pollard,Wallingford,200.0,191.0,391,2.0
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Imogen Sullivan-Bell,Archways,,,DNS,
2020,WAIS Wallingford Dec 2020,WA 18m,Recurve Women,Emma Davis,Meriden,,,DNS,
2020,WAIS Wallingford Dec 2020,WA 18m,Compound Women,Susan Corless,Northampton,286.0,290.0,576,36.0
2020,WAIS Wallingford Dec 2020,WA 18m,Longbow Men,Peter King,Supermarine,212.0,230.0,442,7.0
