Year,Competition,0,1,2,3,4,5,6,7
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Men,Matthew Greetham,Wallingford,256.0,261.0,517,16.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Men,Andrew Edwards,Compton,234.0,256.0,490,12.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Men,Keith Swanepoel,Warfield,228.0,253.0,481,12.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Men,Kevin Griffiths,Wallingford,227.0,242.0,469,9.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Men,William Rockley,Wallingford,219.0,238.0,457,7.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Men,Neil Hall,Wallingford,208.0,205.0,413,3.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Women,Hayley Wickens,Wallingford,254.0,249.0,503,11.0
2023,COAS Indoors 2023,WA 18m,Recurve 50+ Women,Rebecca Neale,Wallingford,206.0,215.0,421,6.0
2023,COAS Indoors 2023,WA 18m,Compound 50+ Men,Ray Park,Wallingford,273.0,266.0,539,12.0
2023,COAS Indoors 2023,WA 18m,Compound 50+ Men,Riccardo Alitta,Shenley,125.0,228.0,353,4.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Antony Wood,Oxford,285.0,288.0,573,37.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,David Timmins,Evesham,277.0,278.0,555,22.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Nico Collard,Wallingford,273.0,275.0,548,23.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Richard White,Chessington,277.0,268.0,545,25.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Yang Pei,Oxford Uni,267.0,274.0,541,20.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Colin Simpson,Warfield,270.0,268.0,538,18.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Stuart Walker,Harlequin,269.0,264.0,533,16.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Wayne Goble,Forest of Bere,276.0,254.0,530,17.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Callum Henfrey,Oxford,260.0,256.0,516,12.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Andy Buchan,Wallingford,256.0,256.0,512,16.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Manos Loukarakis,Wallingford,246.0,249.0,495,10.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Lee Hayes,Wallingford,242.0,234.0,476,7.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Sebastian Bojczuk,Harlequin,246.0,226.0,472,11.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Stephen McFadden,Wallingford,225.0,245.0,470,9.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Dimitrios Christou,Wallingford,226.0,234.0,460,6.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Russ Taylor,Nonsuch,240.0,219.0,459,14.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Michael Burns,Wallingford,217.0,235.0,452,2.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Luke Myers,Royal Holloway,237.0,210.0,447,14.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Tommy Wenmouth,Wallingford,220.0,226.0,446,7.0
2023,COAS Indoors 2023,WA 18m,Recurve Men,Carl Dalrymple,Worthing,,,DNS,
2023,COAS Indoors 2023,WA 18m,Recurve Men,Jason Roberts,Worthing,,,DNS,
2023,COAS Indoors 2023,WA 18m,Recurve Women,Imogen Sullivan-Bell,Archways,281.0,290.0,571,36.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,Becky Neith,Andover,274.0,257.0,531,19.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,Alethea Russell,Wallingford,252.0,241.0,493,15.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,Jasmine Grosso,Wallingford,250.0,239.0,489,13.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,El̩onore Cossade,Oxford,244.0,244.0,488,17.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,Katarzyna Grabalska,Harlequin,228.0,206.0,434,6.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,Lowenna Dunstan,Wallingford,190.0,192.0,382,5.0
2023,COAS Indoors 2023,WA 18m,Recurve Women,Rachel Pollard,Wallingford,165.0,202.0,367,4.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Thomas Lane,Wilford,284.0,289.0,573,33.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Ritchie Shorthouse,Compton,283.0,288.0,571,33.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Jacek Pedziwiatr,AGB,280.0,279.0,559,22.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Chris Stubbs,Wallingford,276.0,281.0,557,19.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Michael Smith,Wallingford,274.0,277.0,551,16.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Ben Glover,Oxford,270.0,276.0,546,14.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Jeffrey Grinnell,Cheltenham,268.0,274.0,542,15.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Rovin Perez,Wallingford,259.0,271.0,530,15.0
2023,COAS Indoors 2023,WA 18m,Compound Men,Jose Goncalves,AGB,,,DNS,
2023,COAS Indoors 2023,WA 18m,Compound Women,Chloe A'Bear,Deer Park,284.0,287.0,571,31.0
2023,COAS Indoors 2023,WA 18m,Compound Women,Donna Mills,Rivernook,266.0,270.0,536,17.0
2023,COAS Indoors 2023,WA 18m,Longbow Men,Peter King,Supermarine,182.0,180.0,362,3.0
2023,COAS Indoors 2023,WA 18m,Barebow Men,Robert Edwards,South Oxon,234.0,242.0,476,7.0
2023,COAS Indoors 2023,WA 18m,Recurve U21 Men,Arthur Brown,Chippenham,235.0,213.0,448,6.0
2023,COAS Indoors 2023,WA 18m,Recurve U21 Women,Erin King,Wallingford,256.0,234.0,490,11.0
2023,COAS Indoors 2023,WA 18m,Compound U21 Men,Luke Davis,Andover,295.0,293.0,588,48.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Men,Samuel Ball,Wallingford,274.0,275.0,549,22.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Men,Owen Smith,Compton,244.0,261.0,505,15.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Men,Ben Marshman,Compton,204.0,190.0,394,2.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Men,Rory Priest,Wallingford,131.0,203.0,334,2.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Men,Nathan Brewer,Wallingford,123.0,36.0,159,1.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Women,Charlie Wortley,Wallingford,254.0,239.0,493,7.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Women,Jasmine Harris,Wallingford,229.0,240.0,469,7.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Women,Jasmine Pollard,Wallingford,187.0,179.0,366,4.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Women,Ellie Wortley,Wallingford,169.0,174.0,343,0.0
2023,COAS Indoors 2023,WA 18m,Recurve U18 Women,Lily Knutton,Wallingford,139.0,167.0,306,2.0
