Year,Competition,0,1,2,3,4,5,6,7
2022,COAS Indoors 2022,WA 18m,Recurve Men,Yang Pei,Oxford Uni,287.0,281.0,568,33.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Michael Judd,Mayflower,281.0,283.0,564,30.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Antony Wood,Oxford,279.0,283.0,562,25.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,David Timmins,Evesham,268.0,280.0,548,24.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Colin Simpson,Warfield,275.0,268.0,543,20.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Stephen McFadden,Wallingford,272.0,265.0,537,21.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Nico Collard,Wallingford,264.0,270.0,534,16.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Samuel Walby,Oxford Uni,254.0,270.0,524,22.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Adam Bates,Oxford Uni,262.0,262.0,524,12.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Simon Paterson,Bampton,258.0,258.0,516,13.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Leon Smith,Compton,259.0,253.0,512,16.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Malcolm Rajapandian,Royal Richmond,246.0,260.0,506,10.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Andy Buchan,Wallingford,252.0,247.0,499,12.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Manos Loukarakis,Wallingford,246.0,251.0,497,7.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Owen Smith,Compton,244.0,249.0,493,13.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Callum Henfrey,Oxford Uni,235.0,256.0,491,15.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Philip Dyer,Nethermoss,258.0,233.0,491,8.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Matthew May,Sittingbourne,243.0,236.0,479,13.0
