Year,Competition,0,1,2,3,4,5,6,7
2021,COAS Indoors 2021,WA 18m,Recurve Men,Antony Wood,Oxford,288,293,581,41
2021,COAS Indoors 2021,WA 18m,Recurve Men,Michael Judd,Mayflower,287,290,577,41
2021,COAS Indoors 2021,WA 18m,Recurve Men,Conor Hall,Bowbrook,285,290,575,35
2021,COAS Indoors 2021,WA 18m,Recurve Men,David Timmins,Evesham,283,284,567,32
2021,COAS Indoors 2021,WA 18m,Recurve Men,Yang Pei,Oxford Uni,269,279,548,24
2021,COAS Indoors 2021,WA 18m,Recurve Men,Colin Simpson,Warfield,263,272,535,23
2021,COAS Indoors 2021,WA 18m,Recurve Men,Stuart Walker,Compton,268,265,533,17
2021,COAS Indoors 2021,WA 18m,Recurve Men,Nico Collard,South Oxon,267,262,529,18
2021,COAS Indoors 2021,WA 18m,Recurve Men,Simon Paterson,Bampton,267,257,524,14
2021,COAS Indoors 2021,WA 18m,Recurve Men,Matthew Greetham,Wallingford,253,262,515,16
2021,COAS Indoors 2021,WA 18m,Recurve Men,Stephen McFadden,Wallingford,253,255,508,12
2021,COAS Indoors 2021,WA 18m,Recurve Men,Andrew Clark,Oxford,260,247,507,14
2021,COAS Indoors 2021,WA 18m,Recurve Men,Andy Buchan,Wallingford,251,248,499,10
2021,COAS Indoors 2021,WA 18m,Recurve Men,Andy Bishop,Droitwich,241,251,492,11
2021,COAS Indoors 2021,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,243,248,491,6
2021,COAS Indoors 2021,WA 18m,Recurve Men,Duncan Reed,Wallingford,241,244,485,13
2021,COAS Indoors 2021,WA 18m,Recurve Men,Philip Dyer,Nethermoss,230,255,485,8
2021,COAS Indoors 2021,WA 18m,Recurve Men,Sathish Kumar Kannan,Newport Pagnell,241,232,473,11
2021,COAS Indoors 2021,WA 18m,Recurve Men,Marc Tamlyn,Wallingford,232,236,468,7
2021,COAS Indoors 2021,WA 18m,Recurve Men,Mark Lee,Wallingford,215,213,428,5
2021,COAS Indoors 2021,WA 18m,Recurve Men,Marcus Heath,Bicester,236,160,396,8
2021,COAS Indoors 2021,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,184,208,392,4
2021,COAS Indoors 2021,WA 18m,Recurve Men,Steve Howe,Wallingford,161,193,354,3
2021,COAS Indoors 2021,WA 18m,Recurve Women,Eleanor Piper,Woking,283,278,561,27
2021,COAS Indoors 2021,WA 18m,Recurve Women,Louisa Piper,Woking,281,280,561,24
2021,COAS Indoors 2021,WA 18m,Recurve Women,Wendie King,Mayflower,282,273,555,24
2021,COAS Indoors 2021,WA 18m,Recurve Women,Imogen Sullivan-Bell,Archways,278,275,553,28
2021,COAS Indoors 2021,WA 18m,Recurve Women,El̩onore Cossade,Oxford,258,267,525,15
2021,COAS Indoors 2021,WA 18m,Recurve Women,Cheryl King,Wallingford,246,256,502,13
2021,COAS Indoors 2021,WA 18m,Recurve Women,Alexandra Currums,Bebington,252,235,487,8
2021,COAS Indoors 2021,WA 18m,Recurve Women,Maria Jacob,Royal Richmond,237,233,470,11
2021,COAS Indoors 2021,WA 18m,Recurve Women,Becky Stacey,Wallingford,214,239,453,6
2021,COAS Indoors 2021,WA 18m,Recurve Women,Eva Gronbech,Oxford,226,225,451,12
2021,COAS Indoors 2021,WA 18m,Recurve Women,Hayley Wickens,Wallingford,201,189,390,3
2021,COAS Indoors 2021,WA 18m,Recurve Women,Rachel Pollard,Wallingford,168,185,353,2
2021,COAS Indoors 2021,WA 18m,Recurve Women,Siobhan Tyson,Wallingford,181,170,351,1
2021,COAS Indoors 2021,WA 18m,Compound Men,Simon Scott,Derwent,293,292,585,45
2021,COAS Indoors 2021,WA 18m,Compound Men,Thomas Lane,Wilford,291,294,585,45
2021,COAS Indoors 2021,WA 18m,Compound Men,Lewis Haslam,Derwent,291,293,584,44
2021,COAS Indoors 2021,WA 18m,Compound Men,Nigel Lane,Wilford,278,285,563,26
2021,COAS Indoors 2021,WA 18m,Compound Men,Jacek Pedziwiatr,AGB,282,276,558,19
2021,COAS Indoors 2021,WA 18m,Compound Men,Ben Glover,Oxford,280,277,557,19
2021,COAS Indoors 2021,WA 18m,Compound Men,Mike Parvess,AGB,274,282,556,19
2021,COAS Indoors 2021,WA 18m,Compound Men,Tamas Gaspar,Buscot Park,273,273,546,12
2021,COAS Indoors 2021,WA 18m,Compound Men,Jose Goncalves,AGB,267,275,542,16
2021,COAS Indoors 2021,WA 18m,Compound Women,Ella Gibson,Deer Park,296,294,590,50
2021,COAS Indoors 2021,WA 18m,Compound Women,Bayley Rose Sargeant,Kent Uni,291,297,588,48
2021,COAS Indoors 2021,WA 18m,Compound Women,Susan Corless,Northampton,287,294,581,41
2021,COAS Indoors 2021,WA 18m,Compound Women,Jenny Bryan,Derwent,288,288,576,36
2021,COAS Indoors 2021,WA 18m,Compound Women,Patience Wood,Bebington,289,284,573,34
2021,COAS Indoors 2021,WA 18m,Compound Women,Nat Merry,Oxford,290,283,573,33
2021,COAS Indoors 2021,WA 18m,Compound Women,Layla Annison,Wymondham,286,286,572,33
2021,COAS Indoors 2021,WA 18m,Compound Women,Chloe A'Bear,Deer Park,283,281,564,24
2021,COAS Indoors 2021,WA 18m,Compound Women,Chloe A'Bear,Deer Park,280,280,560,20
2021,COAS Indoors 2021,WA 18m,Compound Women,Kat Baier,Oxford,274,276,550,18
2021,COAS Indoors 2021,WA 18m,Compound Women,Isabella Bruguier,Crystal Palace,278,272,550,15
2021,COAS Indoors 2021,WA 18m,Compound Women,Mia McGuane,Sittingbourne,264,268,532,9
2021,COAS Indoors 2021,WA 18m,Compound Women,Donna Mills,Rivernook,274,255,529,11
2021,COAS Indoors 2021,WA 18m,Longbow Women,Georgina Cutts,Oxford,122,119,241,0
2021,COAS Indoors 2021,WA 18m,Barebow Men,Oliver Hicks,Warfield,266,260,526,15
2021,COAS Indoors 2021,WA 18m,Barebow Men,Ernest Townsend,Oxford,225,209,434,5
2021,COAS Indoors 2021,WA 18m,Barebow Men,David Gittens,Oxford,222,210,432,2
2021,COAS Indoors 2021,WA 18m,Barebow Men,Glenn Todd,AGB,220,201,421,5
2021,COAS Indoors 2021,WA 18m,Barebow Men,Omar Hussain,Woking,212,198,410,6
2021,COAS Indoors 2021,WA 18m,Barebow Men,Mal Williams,RSM,211,191,402,4
2021,COAS Indoors 2021,WA 18m,Barebow Men,Mal Williams,RSM,181,179,360,3
2021,COAS Indoors 2021,WA 18m,Barebow Women,Victoria Williams,RSM,242,244,486,12
2021,COAS Indoors 2021,WA 18m,Barebow Women,Victoria Williams,RSM,238,247,485,9
